"id","reactor_name","country","type_code","model","status","net_capacity_mwe","construction_start_date","grid_connection_date","commercial_operation_date","shutdown_date"
1,ATUCHA-1,ARGENTINA,PHWR,PHWR KWU,Operational,340,1968-05-01,1974-03-01,1974-06-01,
2,EMBALSE,ARGENTINA,PHWR,CANDU 6,Operational,608,1974-03-01,1983-04-01,1984-01-01,
3,ATUCHA-2,ARGENTINA,PHWR,PHWR KWU,Operational,693,1981-07-01,2014-06-01,2016-05-01,
4,ARMENIAN-2,ARMENIA,PWR,VVER V-270,Operational,416,1975-07-01,1980-01-01,1980-05-01,
5,BELARUSIAN-1,BELARUS,PWR,VVER V-491,Operational,1110,2013-11-01,2020-11-01,2021-06-01,
6,BELARUSIAN-2,BELARUS,PWR,VVER V-491,Operational,1110,2014-04-01,2023-05-01,2023-11-01,
7,DOEL-1,BELGIUM,PWR,WH 2LP,Operational,445,1969-07-01,1974-08-01,1975-02-01,
8,TIHANGE-1,BELGIUM,PWR,Framatome 3 lo,Operational,962,1970-06-01,1975-03-01,1975-10-01,
9,DOEL-2,BELGIUM,PWR,WH 2LP,Operational,445,1971-09-01,1975-08-01,1975-12-01,
10,DOEL-4,BELGIUM,PWR,WH 3LP,Operational,1026,1978-12-01,1985-04-01,1985-07-01,
11,TIHANGE-3,BELGIUM,PWR,WH 3LP,Operational,1030,1978-11-01,1985-06-01,1985-09-01,
12,ANGRA-1,BRAZIL,PWR,WH 2LP,Operational,609,1971-05-01,1982-04-01,1985-01-01,
13,ANGRA-2,BRAZIL,PWR,PRE KONVOI,Operational,1275,1976-01-01,2000-07-01,2001-02-01,
14,KOZLODUY-5,BULGARIA,PWR,VVER V-320,Operational,1003,1980-07-01,1987-11-01,1988-12-01,
15,KOZLODUY-6,BULGARIA,PWR,VVER V-320,Operational,1003,1982-04-01,1991-08-01,1993-12-01,
16,BRUCE-3,CANADA,PHWR,CANDU 750A,Operational,770,1972-07-01,1977-12-01,1978-02-01,
17,BRUCE-4,CANADA,PHWR,CANDU 750A,Operational,807,1972-09-01,1978-12-01,1979-01-01,
18,PICKERING-5,CANADA,PHWR,CANDU 500B,Operational,516,1974-11-01,1982-12-01,1983-05-01,
19,PICKERING-6,CANADA,PHWR,CANDU 500B,Operational,516,1975-10-01,1983-11-01,1984-02-01,
20,PICKERING-7,CANADA,PHWR,CANDU 500B,Operational,516,1976-03-01,1984-11-01,1985-01-01,
21,PICKERING-8,CANADA,PHWR,CANDU 500B,Operational,516,1976-09-01,1986-01-01,1986-02-01,
