"id","supplier_code","full_name"
1,A/F/W,"ASSOCIATION ACEC, FRAMATOME AND WESTINGHOUSE."
2,ABB ATOM,ABB ATOM (FORMERLY ASEA-ATOM)
3,AC,ALLIS CHALMERS
4,ACECOWEN,ACECOWEN (ACEC-COCKERILL-WESTINGHOUSE)
5,ACLF,(ACECOWEN-CREUSOT LOIRE - FRAMATOME)
6,AECL,"ATOMIC ENERGY OF CANADA, LTD."
7,AECL/DAE,ATOMIC ENERGY OF CANADA LTD AND DEPARTMENT OF ATOMIC ENERGY (INDIA)
8,AECL/DHI,ATOMIC ENERGY OF CANADA LTD./DOOSAN HEAVY INDUSTRIES & CONSTRUCTION
9,AEE,ATOMENERGOEXPORT
10,AEG,ALLGEMEINE ELEKTRICITAETS-GESELLSCHAFT
11,"AEG, GE","ALLGEMEINE ELECTRICITAETS-GESELLSCHAFT, GENERAL ELECTRIC COMPANY (US)"
12,"AEG, KWU","ALLGEMEINE ELEKTRICITAETS GESELLSCHAFT, KRAFTWERK UNION AG"
13,AEM,ATOMENERGOMASH
14,AMN/GETS,ANSALDO MECCANICO NUCLEARE SPA/GENERAL ELECTRIC TECHNICAL SERVICES CO.
15,APC,"ATOMIC POWER CONSTRUCTION, LTD."
16,ASEASTAL,ASEA-ATOM/STAL-LAVAL
17,ASPALDO,ASPALDO
18,Atommash,ATOMMASH AEM-TECHNOLOGIES
19,B&W,BABCOCK & WILCOX CO.
20,BBK,BROWN BOVERI-KRUPP REAKTORBAU GMBH
21,BBR,BROWN BOVERI REAKTOR GMBH
22,CE,COMBUSTION ENGINEERING CO.
23,CEA,COMMISSARIAT A L'ENERGIE ATOMIQUE
24,CFHI,CHINA FIRST HEAVY INDUSTRIES
25,CGE,CANADIAN GENERAL ELECTRIC
26,CIAE(Chi,CHINA INSTITUTE OF ATOMIC ENERGY
27,CNCLNEY,"CNIM-CONSTRUCTIONS NAVALES ET INDUSTRIELLES DE MEDITERRANEE CL - CREUSOT LOIRE, NEY - NEYRPIC"
28,CNEA,COMISIÓN NACIONAL DE ENERGÍA ATÓMICA
29,CNNC,CHINA NATIONAL NUCLEAR CORPORATION
30,CZEC,CHINA ZHONGYUAN ENGINEERING CORPORATION
31,DEC,DONGFANG ELECTRIC CORPORATION
32,DHICKAEC,DOOSAN HEAVY INDUSTRIES AND CONSTRUCTION CO. LTD./KOREA ATOMIC ENERGY RESEARCH INSTITUTE/COMBUSTION ENGINEERING
