"id","country","reactor_name","reactor_type","model","net_capacity_mwe","grid_connection_date","commercial_operation_date","operator_code_raw","supplier_code_raw","type_id","operator_id","supplier_id","fuel_id","coolant_id"
379,USA,SUSQUEHANNA-2,BWR,BWR-4 (Mark 2),1257,1984-07-03,1985-02-12,PPL SUSQ,GE,1,128,41,1,1
380,USA,ST. LUCIE-2,PWR,CE 2LP (DRYAMB),987,1983-06-13,1983-08-08,FPL,CE,9,61,22,1,1
381,USA,WATTS BAR-1,PWR,WH 4LP (ICECND),1157,1996-02-07,1996-05-26,TVA,WH,9,157,91,1,1
382,USA,WATTS BAR-2,PWR,WH 4LP (ICECND),1164,2016-06-03,2016-10-19,TVA,WH,9,157,91,1,1
383,USA,SUMMER-1,PWR,WH 3LP (DRYAMB),973,1982-11-16,1984-01-01,SCE&G,WH,9,137,91,1,1
384,USA,COLUMBIA,BWR,BWR-5 (Mark 2),1131,1984-05-27,1984-12-13,ENERGYNW,GE,1,49,41,1,1
385,USA,HARRIS-1,PWR,WH 3LP (DRYAMB),964,1987-01-19,1987-05-02,PROGRESS,WH,9,129,91,1,1
386,USA,NINE MILE POINT-2,BWR,BWR-5 (Mark 2),1277,1987-08-08,1988-03-03,EXELON,GE,1,57,41,1,1
173,India,KUDANKULAM-2,PWR,VVER V-412,932,2016-08-29,2017-03-31,NPCIL,MAEP,9,113,59,1,1
180,"Iran, Isl. Rep.",BUSHEHR-1,PWR,VVER V-446,915,2011-09-03,2013-09-23,NPPDCO,JSC ASE,9,115,54,1,1
181,Japan,TAKAHAMA-2,PWR,M (3-loop),780,1975-01-20,1975-11-14,KEPCO,MHI,9,82,60,1,1
182,Japan,MIHAMA-3,PWR,M (3-loop),780,1976-02-19,1976-12-01,KEPCO,MHI,9,82,60,1,1
183,Japan,SENDAI-1,PWR,M (3-loop),846,1983-09-16,1984-07-04,KYUSHU,MHI,9,93,60,1,1
184,Japan,TAKAHAMA-3,PWR,M (3-loop),830,1984-05-09,1985-01-17,KEPCO,MHI,9,82,60,1,1
185,Japan,TAKAHAMA-4,PWR,M (3-loop),830,1984-11-01,1985-06-05,KEPCO,MHI,9,82,60,1,1
186,Japan,SENDAI-2,PWR,M (3-loop),846,1985-04-05,1985-11-28,KYUSHU,MHI,9,93,60,1,1
187,Japan,GENKAI-3,PWR,M (4-loop),1127,1993-06-15,1994-03-18,KYUSHU,MHI,9,93,60,1,1
188,Japan,GENKAI-4,PWR,M (4-loop),1127,1996-11-12,1997-07-25,KYUSHU,MHI,9,93,60,1,1
189,Japan,IKATA-3,PWR,M (3-loop),846,1994-03-29,1994-12-15,SHIKOKU,MHI,9,141,60,1,1
190,Japan,OHI-3,PWR,M (4-loop),1127,1991-06-07,1991-12-18,KEPCO,MHI,9,82,60,1,1
191,Japan,OHI-4,PWR,M (4-loop),1127,1992-06-23,1993-02-02,KEPCO,MHI,9,82,60,1,1
330,USA,QUAD CITIES-2,BWR,BWR-3 (Mark 1),911,1972-05-23,1973-03-10,EXELON,GE,1,57,41,1,1
331,USA,POINT BEACH-1,PWR,WH 2LP (DRYAMB),591,1970-11-06,1970-12-21,NEXTERA,WH,9,109,91,1,1
192,Japan,TAKAHAMA-1,PWR,M (3-loop),780,1974-03-14,1974-11-14,KEPCO,WH/MHI,9,82,92,1,1
193,"Korea, Rep. of",HANUL-2,PWR,France CPI,967,1989-04-14,1989-09-30,KHNP,FRAM,9,85,37,1,1
194,"Korea, Rep. of",HANBIT-3,PWR,OPR-1000,986,1994-10-30,1995-03-31,KHNP,DHICKAEC,9,85,32,1,1
4,Armenia,ARMENIAN-2,PWR,VVER V-270,416,1980-01-05,1980-05-03,ANPPCJSC,FAEA,9,7,36,1,1
5,Belarus,BELARUSIAN-1,PWR,VVER V491,1110,2020-11-03,2021-06-10,BelNPP,JSC ASE,9,11,54,1,1
6,Belarus,BELARUSIAN-2,PWR,VVER V-491,1110,2023-05-13,2023-11-01,BelNPP,JSC ASE,9,11,54,1,1
7,Belgium,DOEL-1,PWR,WH 2LP,445,1974-08-28,1975-02-15,EBL+EDF,ACECOWEN,9,43,4,1,1
8,Belgium,TIHANGE-1,PWR,Framatome 3 lo,962,1975-03-07,1975-10-01,EBL,ACLF,9,42,5,1,1
9,Belgium,DOEL-2,PWR,WH 2LP,445,1975-08-21,1975-12-01,EBL+EDF,ACECOWEN,9,43,4,1,1
10,Belgium,DOEL-4,PWR,WH 3LP,1039,1985-04-08,1985-07-01,EBL+EDF,ACECOWEN,9,43,4,1,1
11,Belgium,TIHANGE-3,PWR,WH 3LP,1046,1985-06-15,1985-09-01,EBL,ACECOWEN,9,42,4,1,1
12,Brazil,ANGRA-1,PWR,WH 2LP,609,1982-04-01,1985-01-01,ELETRONU,WH,9,47,91,1,1
13,Brazil,ANGRA-2,PWR,PRE KONVOI,1275,2000-07-21,2001-02-01,ELETRONU,KWU,9,47,56,1,1
14,Bulgaria,KOZLODUY-5,PWR,VVER V-320,1003,1987-11-17,1988-12-23,KNPP,AEE,9,91,9,1,1
15,Bulgaria,KOZLODUY-6,PWR,VVER V-320,1003,1991-08-02,1993-12-30,KNPP,AEE,9,91,9,1,1
195,"Korea, Rep. of",HANBIT-4,PWR,OPR-1000,970,1995-07-18,1996-01-01,KHNP,DHICKAEC,9,85,32,1,1
196,"Korea, Rep. of",HANUL-3,PWR,OPR-1000,997,1998-01-07,1998-08-11,KHNP,DHICKOPC,9,85,33,1,1
197,"Korea, Rep. of",HANUL-4,PWR,OPR-1000,999,1998-12-28,1999-12-31,KHNP,DHICKOPC,9,85,33,1,1
200,"Korea, Rep. of",HANBIT-5,PWR,OPR-1000,992,2001-12-19,2002-05-21,KHNP,DHICKOPC,9,85,33,1,1
201,"Korea, Rep. of",HANBIT-6,PWR,OPR-1000,993,2002-09-16,2002-12-24,KHNP,DHICKOPC,9,85,33,1,1
202,"Korea, Rep. of",HANUL-5,PWR,OPR-1000,998,2003-12-18,2004-07-29,KHNP,DHICKOPC,9,85,33,1,1
203,"Korea, Rep. of",KORI-2,PWR,WH F,640,1983-04-22,1983-07-25,KHNP,WH,9,85,91,1,1
204,"Korea, Rep. of",HANUL-6,PWR,OPR-1000,997,2005-01-07,2005-04-22,KHNP,DHICKOPC,9,85,33,1,1
205,"Korea, Rep. of",SHIN-KORI-1,PWR,OPR-1000,996,2010-08-04,2011-02-28,KHNP,DHICKOPC,9,85,33,1,1
206,"Korea, Rep. of",SHIN-KORI-2,PWR,OPR-1000,996,2012-01-28,2012-07-20,KHNP,DHICKOPC,9,85,33,1,1
207,"Korea, Rep. of",SHIN-WOLSONG-1,PWR,OPR-1000,997,2012-01-27,2012-07-31,KHNP,DHICKOPC,9,85,33,1,1
