"id","operator_code","full_name"
1,AEC/NPPD,ATOMIC ENERGY COMMISSION AND NEBRASKA PUBLIC POWER DISTRICT
2,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC."
3,AmerenUE,"AMEREN UE, UNION ELECTRIC COMPANY"
4,ANAV,ASOCIACIÓN NUCLEAR ASCO-VANDELLÓS A.I.E. (ENDESA/ID)
5,ANC,AKKUYU NUCLEAR JOINT STOCK COMPANY (JSC)
6,ANJSC,AKKUYU NUCLEAR JOINT STOCK COMPANY (JSC)
7,ANPPCJSC,CLOSED JOINT STOCK COMPANY ARMENIAN NPP
8,APS,ARIZONA PUBLIC SERVICE CO.
9,AVR,ARBEITSGEMEINSCHAFT VERSUCHSREAKTOR GMBH
10,Axpo AG,KERNKRAFTWERK BEZNAU CH-5312 DÖTTINGEN
11,BelNPP,"REPUBLICAN UNITARY ENTERPRISE ""BELARUSIAN NUCLEAR POWER PLANT"""
12,BHAVINI,BHARATIYA NABHIKIYA VIDYUT NIGAM LIMITED
13,BKAB,BARSEBACK KRAFT AB
14,BKW,BKW ENERGIE AG
15,BRUCEPOW,BRUCE POWER
16,BV GKN,BV GEMEENSCHAPPELIJKE KERNENERGIECENTRALE NEDERLAND (BV GKN)
17,CEA/EDF,COMMISSARIAT À L'ENERGIE ATOMIQUE (80%) ELECTRICITÉ DE FRANCE (20%)
18,CEN/SCK,CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE/STUDIECENTRUM VOOR KERNENERGIE
19,CEZ,"CZECH POWER CO., CEZ A.S."
20,CFE,COMISION FEDERAL DE ELECTRICIDAD
21,CGCNP,"CGN CANGNAN NUCLEAR CO.,LTD"
22,CHG,CHINA HUANENG GROUP
23,CHUBU,"CHUBU ELECTRIC POWER CO., INC."
24,CHUGOKU,"THE CHUGOKU ELECTRIC POWER CO., INC."
25,CNAT,CENTRALES NUCLEARES ALMARAZ-TRILLO (ID/UFG/ENDESA/HC/NUCLENOR)
26,CNEA,COMISION NACIONAL DE ENERGIA ATOMICA
27,CNNC,CHINA NATIONAL NUCLEAR CORPORATION
28,CNNO,CNNC NUCLEAR OPERATION MANAGEMENT COMPANY LIMITED
29,CofPiqua,CITY OF PIQUA GOVERNMENT
30,COGEMA,COMPAGNIE GENERALE DES MATIERES NUCLEAIRES
31,CPC,CONSUMERS POWER CO.
32,CVPA,CAROLINAS-VIRGINIA NUCLEAR POWER ASSOC.
33,CYAPC,CONNECTICUT YANKEE ATOMIC POWER CO.
34,DNMC,"DAYA BAY NUCLEAR POWER OPERATIONS AND MANAGEMENT CO, LTD."
35,DOE DUQU,DEPARTMENT OF ENERGY AND DUQUESNE LIGHT CO.
36,DOE/PRWR,DOE & PUERTO RICO WATER RESOURCES
37,DOMINION,DOMINION ENERGY
38,DPC,DAIRYLAND POWER COOPERATIVE
39,DTEDISON,DETROIT EDISON CO.
40,DUKEENER,DUKE ENERGY CORP.
41,E.ON,E.ON KERNKRAFT GMBH
42,EBL,ENGIE ELECTRABEL
43,EBL+EDF,LUMINUS ENGIE ELECTRABEL + EDF BELGIUM + EDF
44,EDF,ÉLECTRICITÉ DE FRANCE
45,EDF UK,EDF ENERGY
46,EDF-CGN,EDF ENERGY - CHINA GENERAL NUCLEAR JOINT VENTURE
47,ELETRONU,ELETROBRÁS TERMONUCLEAR S.A.
48,EnBW,ENBW KRAFTWERKE AG
49,ENERGYNW,ENERGY NORTHWEST
50,EnKK,ENBW KERNKRAFT GMBH
51,ENTERGY,"ENTERGY NUCLEAR OPERATIONS, INC."
52,EOS,ENERGIE DE L'OUEST SUISSE
53,EPDC,"ELECTRIC POWER DEVELOPMENT CO., LTD."
54,EPZ,N.V. ELEKTRICITEITS-PRODUKTIEMAATSCHAPPIJ ZUID-NEDERLAND
55,ESKOM,ESKOM
56,EWN,ENERGIEWERKE NORD GMBH
